topic_id,tweet_id,judgment,missing
LV001,853053389588111360,1,f
LV001,853082297804914688,1,f
LV001,853085541507649536,1,f
LV001,853086507095207936,1,f
LV001,853092626098257921,1,f
LV001,853093201011503104,1,f
LV001,853097603705294849,1,f
LV001,853099146223525889,1,f
LV001,853100744622444548,1,f
LV001,853101456668454912,1,f
LV001,853101902833364992,1,f
LV001,853102000447393792,1,f
LV001,853106405267701761,1,f
LV001,853107839539318790,1,f
LV001,853107949325221888,1,f
LV001,853109028553207808,1,f
LV001,853109684110274560,1,f
LV001,853110481212592128,1,f
LV001,853111697174929408,1,f
LV001,853112702801244160,1,f
LV001,853113291547213824,1,f
LV001,853113328847269888,1,f
LV001,853115926891421697,1,f
LV001,853117241105297408,1,f
LV001,853117277302140932,1,f
LV001,853117290795216896,1,f
LV001,853118792045604864,1,f
LV001,853121276411621377,1,f
LV001,853121276935884800,1,f
LV001,853122874021990400,1,f
LV001,853125027247439873,1,f
LV001,853125739927011328,1,f
LV001,853127965227593728,1,f
LV001,853128488504750080,1,f
LV001,853128714867138561,1,f
LV001,853128830386675713,1,f
LV001,853129465530023936,1,f
LV001,853131101384175616,1,f
LV001,853131517752737792,1,f
LV001,853133014855012352,1,f
LV001,853134623605477376,1,f
LV001,853135503171964932,1,f
LV001,853135597778722816,1,f
LV001,853135674534481920,1,f
LV001,853138976198340609,1,f
LV001,853141494324133888,1,f
LV001,853142970211631104,1,f
LV001,853146102236925952,1,f
LV001,853147837793804288,1,f
LV001,853152972548788224,1,f
LV001,853153989311033344,1,f
LV001,853154905275682816,1,f
LV001,853155352459784192,1,f
LV001,853157146120343552,1,f
LV001,853159975253946368,1,f
LV001,853163856813850624,1,f
LV001,853172780619182080,1,f
LV001,853176003337887744,1,f
LV001,853178196531040256,1,f
LV001,853178466275033088,1,f
LV001,853180054473506816,1,f
LV001,853181443132067840,1,f
LV001,853191073283178497,1,f
LV001,853193863837745152,1,f
LV001,853193976907780097,1,f
LV001,853194344790151169,1,f
LV001,853209824376508416,1,f
LV001,853212803699814400,1,f
LV001,853227339165167616,1,f
LV001,853227446577057792,1,f
LV001,853230078624489476,1,f
LV001,853230796781629440,1,f
LV001,853231386081230848,1,f
LV001,853243163296903168,1,f
LV001,853248724390338560,1,f
LV001,853251735858622464,1,f
LV001,853283279209988096,1,f
LV001,853339935247659008,1,f
LV001,853352993051353088,1,f
LV001,853362406516551681,1,f
LV001,853431833362616321,1,f
LV001,853436821610655744,1,f
LV001,853447413855637504,1,f
LV001,853462059744460800,1,f
LV001,853464830761676802,1,f
LV001,853465194768551936,1,f
LV001,853472037725196288,1,f
LV001,853472683614457857,1,f
LV001,853473985870397441,1,f
LV001,853474866728718336,1,f
LV001,853477996656705537,1,f
LV001,853478066978512896,1,f
LV001,853479211700453376,1,f
LV001,853483304296873985,1,f
LV001,853485937728335873,1,f
LV001,853489954017685508,1,f
LV001,853490458680602624,1,f
LV001,853494450877853696,1,f
LV001,853495982675329025,1,f
LV001,853498436116787201,1,f
LV001,853499328903749632,1,f
LV001,853499982854455296,1,f
LV001,853503958215794688,1,f
LV001,853504823915925504,1,f
LV001,853504906422083585,1,f
LV001,853505474720878592,1,f
LV001,853507674180382721,1,f
LV001,853508829325258752,1,f
LV001,853515880327720960,1,f
LV001,853518492343119872,1,f
LV001,853519382940704768,1,f
LV001,853519420844634113,1,f
LV001,853520616107855872,1,f
LV001,853521799119863808,1,f
LV001,853525587427807232,1,f
LV001,853526933891624960,1,f
LV001,853528349808963584,1,f
LV001,853528865347686400,1,f
LV001,853529587527143424,1,f
LV001,853529654858326018,1,f
LV001,853529660675829760,1,f
LV001,853533228753453056,1,f
LV001,853534396091179008,1,f
LV001,853535889842208768,1,f
LV001,853535945538273280,1,f
LV001,853536015180607488,1,f
LV001,853536177109991425,1,f
LV001,853537742604480512,1,f
LV001,853538110193401856,1,f
LV001,853538352502538240,1,f
LV001,853538976979972096,1,f
LV001,853543564969725952,1,f
LV001,853545723031367680,1,f
LV001,853557077461086208,1,f
LV001,853563766943997952,1,f
LV001,853569648595521536,1,f
LV001,853570103295840258,1,f
LV001,853571175221297154,1,f
LV001,853571309141360641,1,f
LV001,853571323574063106,1,f
LV001,853579445659160576,1,f
LV001,853584705240924160,1,f
LV001,853598626429456384,1,f
LV001,853637212172419072,1,f
LV001,853659725463998464,1,f
LV001,853676115163963393,1,f
LV001,853683560137601025,1,f
LV001,853687547322654720,1,f
LV001,853689146594013185,1,f
LV001,853704530210549760,1,f
LV001,853712862451314689,1,f
LV001,853713559490101253,1,f
LV001,853713908183568385,1,f
LV001,853714660729786368,1,f
LV001,853801593841516544,1,f
LV001,853838486985560066,1,f
LV001,853839990152986624,1,f
LV001,853840383436091392,1,f
LV001,853840963575349248,1,f
LV001,853846161131806720,1,f
LV001,853846867112865792,1,f
LV001,853849280926408704,1,f
LV001,853850518518734849,1,f
LV001,853852432211857409,1,f
LV001,853853071323144198,1,f
LV001,853853164138889216,1,f
LV001,853853573699993600,1,f
LV001,853857894089064448,1,f
LV001,853858491945152512,1,f
LV001,853859588130705410,1,f
LV001,853862876158865408,1,f
LV001,853863655213080576,1,f
LV001,853864388608053248,1,f
LV001,853866089406660608,1,f
LV001,853866127046438912,1,f
LV001,853866315760754688,1,f
LV001,853866379925217280,1,f
LV001,853866411902599168,1,f
LV001,853866889847734273,1,f
LV001,853868431925530624,1,f
LV001,853869025230811136,1,f
LV001,853870422881947648,1,f
LV001,853870986701283328,1,f
LV001,853872540225241088,1,f
LV001,853872593232949249,1,f
LV001,853876616254062592,1,f
LV001,853877241142554624,1,f
LV001,853880416817827841,1,f
LV001,853880488498475010,1,f
LV001,853881392018714624,1,f
LV001,853882391542235136,1,f
LV001,853883233334947840,1,f
LV001,853883234870059008,1,f
LV001,853884723881537536,1,f
LV001,853887521939484672,1,f
LV001,853894442822107136,1,f
LV001,853894694845243392,1,f
LV001,853896584722956288,1,f
LV001,853898015798636544,1,f
LV001,853898038628274178,1,f
LV001,853898565172826113,1,f
LV001,853899096054267904,1,f
LV001,853903607384739842,1,f
LV001,853904634838224896,1,f
LV001,853912301644238848,1,f
LV001,853914596947750913,1,f
LV001,853917291993591809,1,f
LV001,853923114350202880,1,f
LV001,853933068545138689,1,f
LV001,853933945553133568,1,f
LV001,853933969905209344,1,f
LV001,853936489620799488,1,f
LV001,853938658503798784,1,f
LV001,853942854019936256,1,f
LV001,853943573905121281,1,f
LV001,853963823983755264,1,f
LV001,853974275774193664,1,f
LV001,853983871804813313,1,f
LV001,853988956555313158,1,f
LV001,853990207095537664,1,f
LV001,853993965401583616,1,f
LV001,853998819029250050,1,f
LV001,854043611889106944,1,f
LV001,854045995973451776,1,f
LV001,854048556973510656,1,f
LV001,854054784214720514,1,f
LV001,854054915337007104,1,f
LV001,854057221352804352,1,f
LV001,854073907258642432,1,f
LV001,854162823773114370,1,f
LV001,854169338013773829,1,f
LV001,854169377633185792,1,f
LV001,854176818106167296,1,f
LV001,854177251075686400,1,f
LV001,854177683298807808,1,f
LV001,854177999071191040,1,f
LV001,854178786740514816,1,f
LV001,854180945536192512,1,f
LV001,854181256250216448,1,f
LV001,854182204242616321,1,f
LV001,854184239151140865,1,f
LV001,854186876479131649,1,f
LV001,854187037754306560,1,f
LV001,854188717652815872,1,f
LV001,854188780630233088,1,f
LV001,854190906240638976,1,f
LV001,854191031721619457,1,f
LV001,854195564044484608,1,f
LV001,854198432591949825,1,f
LV001,854199230767955968,1,f
LV001,854199692216938496,1,f
LV001,854204143040290816,1,f
LV001,854212669334847488,1,f
LV001,854244279606284288,1,f
LV001,854244312376324096,1,f
LV001,854245629270392832,1,f
LV001,854248695910551557,1,f
LV001,854255976706441216,1,f
LV001,854263080926269440,1,f
LV001,854286601601634304,1,f
LV001,854303952099172353,1,f
LV001,854323703290712064,1,f
LV001,854332104871751681,1,f
LV001,854463669991821312,1,f
LV001,854529902699315201,1,f
LV001,854529989982552065,1,f
LV001,854562783152791552,1,f
LV001,854564465421029377,1,f
LV001,854570473459417088,1,f
LV001,854576321841836032,1,f
LV001,854580496550027264,1,f
LV001,854586401949724672,1,f
LV001,854601796274327552,1,f
LV001,854627725696524290,1,f
LV001,854629334639923201,1,f
LV001,854630971651567617,1,f
LV001,854652007784828928,1,f
LV001,854653757635915777,1,f
LV001,854662063381262336,1,f
LV001,854678588628643841,1,f
LV001,854684768931389441,1,f
LV001,854689577201750016,1,f
LV001,854709855629836288,1,f
LV001,854713002834219008,1,f
LV001,854748792603762688,1,f
LV001,854824447592857600,1,f
LV001,854921154640969729,1,f
LV001,854925409460396032,1,f
LV001,854926350796431360,1,f
LV001,854929386251988994,1,f
LV001,854930138743570432,1,f
LV001,854934563746959360,1,f
LV001,854934874339323905,1,f
LV001,854934920602558465,1,f
LV001,854935068292386816,1,f
LV001,854946432121544705,1,f
LV001,855013063598231552,1,f
LV001,855019140234530816,1,f
LV001,855022027421470721,1,f
LV001,855022947286867968,1,f
LV001,855043630565916675,1,f
LV001,855044996831088640,1,f
LV001,855045032948228096,1,f
LV001,855053453026103296,1,f
LV001,855056421188231169,1,f
LV001,855062825965846528,1,f
LV001,855062876586991616,1,f
LV001,855068967886618625,1,f
LV001,855069163311726592,1,f
LV001,855070120405762048,1,f
LV001,855071603264286722,1,f
LV001,855071662391386112,1,f
LV001,855071671463673858,1,f
LV001,855073805592666113,1,f
LV001,855080418848247810,1,f
LV001,855082237271961600,1,f
LV001,855101721336578049,1,f
LV001,855128756201152517,1,f
LV001,855133655018098689,1,f
LV001,855244792514711553,1,f
LV001,855265343908007936,1,f
LV001,855265373066858497,1,f
LV001,855265939138334721,1,f
LV001,855271577885188097,1,f
LV001,855272673009557504,1,f
LV001,855274186754801665,1,f
LV001,855275892934705160,1,f
LV001,855276265468706816,1,f
LV001,855278012987723776,1,f
LV001,855279861102821378,1,f
LV001,855280571160776705,1,f
LV001,855281611209719808,1,f
LV001,855283471173820419,1,f
LV001,855284243408211968,1,f
LV001,855286303558033408,1,f
LV001,855290003902955520,1,f
LV001,855290005752762368,1,f
LV001,855294471977656320,1,f
LV001,855308139893104640,1,f
LV001,855311405939015680,1,f
LV001,855323006389714946,1,f
LV001,855323152649297920,1,f
LV001,855332786789470209,1,f
LV001,855337056582553600,1,f
LV001,855365733886427136,1,f
LV001,855374336454152192,1,f
LV001,855380324339118080,1,f
LV001,855380354101805056,1,f
LV001,855391818980233216,1,f
LV001,855411228218445824,1,f
LV001,855412489894469633,1,f
LV001,855413373688852480,1,f
LV001,855416812636446720,1,f
LV001,855446028723605504,1,f
LV001,855464763094118400,1,f
LV001,855534110197993472,1,f
LV001,855624191667843073,1,f
LV001,855643296638676993,1,f
LV001,855644721527566336,1,f
LV001,855644973458391040,1,f
LV001,855652250965987328,1,f
LV001,855652687731470336,1,f
LV001,855653653197271042,1,f
LV001,855654620382859264,1,f
LV001,855658594125193216,1,f
LV001,855667776228339712,1,f
LV001,855673212981653504,1,f
LV001,855681665204707328,1,f
LV001,855706766667132930,1,f
LV001,855707087459975168,1,f
LV001,855718771775942657,1,f
LV001,855719240770478081,1,f
LV001,855719290456207360,1,f
LV001,855721509167529984,1,f
LV001,855726948957511684,1,f
LV001,855739020453793793,1,f
LV001,855740948353085445,1,f
LV001,855765258895585283,1,f
LV001,855781716933443585,1,f
LV001,855793317321289728,1,f
LV001,855795516256514050,1,f
LV001,855816546207367173,1,f
LV001,855892724704260096,1,f
LV001,855892726428073986,1,f
LV001,856017300419477504,1,f
LV001,856047328968536064,1,f
LV001,856059111485603840,1,f
LV001,856170117884858369,1,f
LV001,856342463828688896,1,f
LV001,856351723262234624,1,f
LV001,856356768443715584,1,f
LV001,856361746830950401,1,f
LV001,856375175557914626,1,f
LV001,856375243610476544,1,f
LV001,856375315366641664,1,f
LV001,856393585524170752,1,f
LV001,856426153049038849,1,f
LV001,856428607035592704,1,f
LV001,856431339343622144,1,f
